route_ref,highway_type,lanes,maxspeed_kmh,length_km,midpoint_lat,midpoint_lon
241,primary,,,0.2,31.31845,34.60701
241,primary,,,3.0,31.32794,34.63226
241,primary,,,0.044,31.32651,34.62551
241,primary,,,0.04,31.32634,34.62507
241,primary,,,0.261,31.31791,34.60476
241,primary,,,5.709,31.31391,34.51299
241,primary,,,4.782,31.31093,34.47316
241,primary,,,0.095,31.30969,34.4892
241,primary,,,0.178,31.31653,34.59599
241,primary,,,0.133,31.3167,34.59647
241,primary,,,0.105,31.31649,34.59625
241,primary,,,0.135,31.31662,34.59645
241,primary,2,,3.933,31.31704,34.55925
241,primary,,,0.176,31.31661,34.59589
241,primary,,,0.629,31.31975,34.61103
241,primary,,,0.009,31.31815,34.60534
241,primary,,,0.035,31.3181,34.60582
241,primary,,,0.194,31.31837,34.60703
241,primary,,,0.01,31.31803,34.60546
241,primary,,,0.031,31.3181,34.60501
241,primary,,,0.23,31.318,34.60454
241,primary,,,0.028,31.31817,34.60543
241,primary,,,0.038,31.32277,34.61985
241,primary,,,0.626,31.32363,34.62158
241,primary,,,0.008,31.32266,34.61958
241,primary,,,0.376,31.32168,34.61623
241,primary,,,0.368,31.32152,34.6161
241,primary,,,0.179,31.32136,34.61537
241,primary,,,0.179,31.32134,34.6155
241,primary,,,0.042,31.33759,34.65379
241,primary,2,,0.392,31.31574,34.59041
242,primary,,,4.761,31.36739,34.41106
242,primary,,,0.603,31.367,34.39746
242,primary,,,2.027,31.37085,34.38415
25,trunk,1,90.0,0.166,31.05359,35.03088
25,trunk,2,90.0,2.575,31.0432,35.0453
25,trunk,,80.0,0.395,31.0279,35.23999
25,trunk,,80.0,4.067,31.03903,35.21451
25,trunk,2,90.0,0.994,31.4217,34.60325
25,trunk,2,,0.16,31.42977,34.59864
25,trunk,1,,0.157,31.42983,34.59866
25,trunk,,,2.696,31.45499,34.55263
25,trunk,,,0.325,31.47076,34.52693
25,trunk,,90.0,10.311,31.04021,35.17665
25,trunk,,90.0,2.317,31.03563,35.08139
25,trunk,,90.0,0.035,31.26623,34.74347
25,trunk,,90.0,1.729,31.35195,34.63796
25,trunk,3,90.0,0.161,31.22506,34.82925
25,trunk,4,90.0,0.161,31.22552,34.82765
25,trunk,2,90.0,1.592,31.22364,34.83589
25,trunk,,90.0,0.035,31.32976,34.69998
25,trunk,,90.0,3.004,31.32121,34.70325
25,trunk,,90.0,0.057,31.3804,34.6164
25,trunk,2,90.0,2.397,31.38467,34.61457
25,trunk,,90.0,0.323,31.37829,34.61692
25,trunk,,90.0,0.062,31.37979,34.61618
25,trunk,2,90.0,2.063,31.20498,34.90641
25,trunk,2,90.0,4.374,31.20636,34.89961
25,trunk,2,90.0,0.304,31.19972,34.91898
25,trunk,,,0.547,31.46619,34.53313
25,trunk,,,0.023,31.46534,34.53405
25,trunk,,90.0,0.076,31.03858,35.05447
25,trunk,,90.0,1.452,31.03707,35.06053
25,trunk,,,0.052,31.46921,34.52934
