alert_rank_alltime,alert_rank_marapr2026,lat,lon,road,risk_score,lanes_weight,alerts_alltime_15km,alerts_marapr2026_15km,status,relocated_from_lat,relocated_from_lon,nearest_city,moved_km
201,200,32.5864,35.43541,717,2.5,1.0,692,510,rural,,,,
202,201,32.52864,35.37212,667,2.0,1.0,692,510,rural,,,,
203,202,32.65708,35.29228,60,1.8,2.0,657,453,rural,,,,
204,226,31.43549,34.67824,293,4.0,1.5,649,106,rural,,,,
205,203,32.60988,35.04111,67,1.8,1.5,630,440,rural,,,,
206,227,31.3856,34.61438,25,1.8,1.5,624,105,rural,,,,
207,204,32.78608,35.49499,768,2.5,1.5,500,348,rural,,,,
208,205,32.78097,35.43836,77,1.8,1.5,500,348,rural,,,,
209,206,32.49797,35.06434,65,1.8,1.5,362,298,rural,,,,
210,216,32.59074,35.2921,60,1.8,2.0,346,232,rural,,,,
211,217,32.70236,35.41203,65,2.5,1.5,346,232,rural,,,,
212,218,32.67846,35.41214,65,2.5,1.5,346,232,rural,,,,
213,219,32.55796,35.31901,675,2.0,1.5,346,232,rural,,,,
214,220,32.65122,35.37426,65,1.8,1.5,346,232,rural,,,,
215,221,32.60774,35.26712,65,1.8,1.5,346,232,rural,,,,
216,222,32.63828,35.3338,65,1.8,1.5,346,232,rural,,,,
217,223,32.7036,35.50631,767,2.5,1.0,346,232,rural,,,,
218,212,31.33762,34.92885,60,1.8,2.0,345,273,rural,,,,
219,213,31.44222,34.766,293,2.0,1.5,345,273,rural,,,,
220,214,31.40207,34.78879,40,1.8,1.5,345,273,rural,,,,
221,215,31.44277,34.73377,334,2.0,1.0,345,273,rural,,,,
222,207,30.62194,34.80364,40,2.0,1.5,344,284,rural,,,,
223,208,30.71894,34.77792,40,2.0,1.5,344,284,rural,,,,
224,209,30.58546,34.89128,40,2.0,1.5,344,284,rural,,,,
225,210,31.17296,35.31124,31,1.8,1.5,339,283,rural,,,,
226,211,31.14664,35.22025,258,2.0,1.0,339,283,rural,,,,
227,224,32.59921,35.16784,66,1.8,1.0,313,221,rural,,,,
228,228,32.51401,35.31115,60,1.8,2.0,0,0,rural,,,,
229,229,32.60645,34.92707,2,1.5,2.0,0,0,rural,,,,
230,230,32.25072,35.60789,20,1.5,2.0,0,0,relocated,32.22833,34.83173,געש,72.91
231,231,30.88117,34.4019,211,4.0,1.5,0,0,rural,,,,
232,232,31.32144,34.61589,241,4.0,1.5,0,0,rural,,,,
233,233,30.95722,34.61477,211,4.0,1.5,0,0,rural,,,,
234,234,30.9137,34.52661,211,4.0,1.5,0,0,rural,,,,
235,235,30.96208,34.71125,211,4.0,1.5,0,0,rural,,,,
236,236,32.78341,35.54313,90,2.5,1.5,0,0,rural,,,,
237,237,32.73662,35.56866,90,2.5,1.5,0,0,rural,,,,
238,238,32.703,35.58675,90,2.5,1.5,0,0,rural,,,,
239,239,31.15164,35.53052,65,2.5,1.5,0,0,rural,,,,
240,240,31.28628,35.53255,65,2.5,1.5,0,0,rural,,,,
241,241,31.08926,35.51606,65,2.5,1.5,0,0,rural,,,,
242,242,32.74215,35.54064,768,2.5,1.5,0,0,rural,,,,
243,243,30.94185,35.4546,65,2.5,1.5,0,0,rural,,,,
244,244,32.82092,35.68243,789,2.5,1.5,0,0,rural,,,,
245,245,31.05326,35.47567,65,2.5,1.5,0,0,rural,,,,
246,246,31.19821,35.52873,65,2.5,1.5,0,0,rural,,,,
247,247,29.56022,34.95796,90,2.0,1.5,0,0,rural,,,,
248,248,30.44761,35.15428,90,2.0,1.5,0,0,rural,,,,
249,249,29.50861,34.92125,90,2.0,1.5,0,0,rural,,,,
250,250,30.7469,35.22819,90,2.0,1.5,0,0,rural,,,,
251,251,30.53245,35.18342,90,2.0,1.5,0,0,rural,,,,
252,252,30.27971,35.00198,40,2.0,1.5,0,0,rural,,,,
253,253,30.89917,35.43009,65,2.0,1.5,0,0,rural,,,,
254,254,29.77629,35.05778,65,2.0,1.5,0,0,rural,,,,
255,255,30.98424,34.93746,225,2.0,1.5,0,0,rural,,,,
256,256,31.01049,34.78,222,2.0,1.5,0,0,rural,,,,
257,257,32.57234,34.96045,652,2.0,1.5,0,0,rural,,,,
258,258,29.55407,34.92701,12,2.0,1.5,0,0,rural,,,,
259,259,29.98998,35.07648,40,2.0,1.5,0,0,rural,,,,
260,260,30.14249,35.13369,90,2.0,1.5,0,0,rural,,,,
