lat,lon,road,risk_score,lanes_weight,nearby_alerts_15km,alert_rank
32.72549547105951,34.96620748813075,4,1.8,1.5,5154,303
32.7141003,34.970596,721,2.0,1.5,5154,304
33.0136403,35.622721,918,4.0,1.5,5131,305
33.01361003173228,35.62435994067607,91,4.0,1.5,5131,306
32.47906357685985,34.95469624151248,651,2.0,1.5,4947,307
32.9137221,35.5428973,85,4.0,1.5,4934,308
32.91246570140082,35.54497445569641,90,4.0,1.5,4934,309
31.58308332733476,34.646713870675626,232,2.0,1.0,4818,310
32.7041149,34.9692594,4,1.8,1.5,4808,311
31.64417785662297,34.59254314244047,4,1.8,1.5,4772,312
31.610438526142964,34.74960326199633,40,1.8,1.5,4759,313
31.5687768,34.6433028,352,2.0,1.0,4500,314
31.624377720982224,34.75972529865518,35,1.8,1.5,4446,315
32.7161644,35.2989437,700,2.0,1.0,4442,316
32.647697114184595,35.08238906727568,6,1.5,1.5,4430,317
32.4864624,34.9024718,651,2.0,1.5,4199,318
32.711291,34.9514904,721,2.0,1.5,4186,319
32.71843229081725,34.94843853616225,2,1.5,2.0,4186,320
31.58664298964033,34.566040750888796,34,4.0,1.5,4111,321
31.587104443457168,34.5620621088933,4,1.8,1.5,4111,322
32.6737335,35.2217993,73,1.8,1.5,4105,323
32.4673694,35.019543,574,2.0,1.5,4099,324
31.5689799,34.5500762,4,4.0,1.5,3836,325
32.500837515438455,34.9157576815396,2,1.5,2.0,3737,326
32.96874579290098,35.638287991665884,888,4.0,1.0,3727,327
31.628935536252122,34.84566771580291,353,2.0,1.0,3609,328
31.6111524,34.9032578,35,1.8,1.5,3387,329
32.478343070632405,35.03677938001912,6,1.5,1.5,3372,330
32.510771,34.9570687,652,2.0,1.5,3368,331
32.76467082555134,35.376711397425666,77,1.8,1.5,3331,332
