alert_rank,aadt_rank,lat,lon,road,risk_score,lanes_weight,aadt_vehicles_per_day,nearby_alerts_15km
52,231,32.092596430112785,34.85228225861316,481,2.0,2.0,13000,61853
53,450,32.001370811820365,34.82101222215649,412,2.0,1.5,8000,61796
54,444,31.8132421,34.899548,411,2.0,1.5,8000,61765
55,336,31.8986517,34.8103932,412,2.0,1.5,8000,61419
56,178,31.8162527,34.9143267,44,1.8,2.5,18000,61241
57,55,32.03178156804269,34.8293036161141,4,1.8,1.5,40000,61194
58,551,32.17185451608901,34.897044633954344,531,1.5,1.5,8000,61024
59,237,31.921098,34.8136263,423,2.0,2.0,13000,60928
60,93,31.83491195066921,34.977408256699064,3,1.8,1.5,30000,60721
61,414,31.8469955,34.8368469,411,2.0,1.5,8000,60715
62,402,31.888374962196917,34.77877425795698,410,2.0,1.5,8000,60624
63,70,32.12256616089965,34.8541405289068,4,1.8,1.5,40000,59866
64,158,31.872956511156616,34.821870646428074,40,1.8,1.5,22000,59512
65,452,31.900957631061125,34.76340029277351,42,1.8,1.5,8000,58613
66,91,31.854417,35.0040893,3,1.8,1.5,30000,58462
67,523,31.93496740523937,34.79979862224626,412,2.0,1.5,8000,57447
68,527,31.942603086440204,34.80069336576319,412,2.0,1.5,8000,57433
69,547,31.800202999053703,34.805238958539405,7,1.8,1.5,8000,57341
70,24,31.830224723350366,34.98962017417698,1,1.5,2.0,55000,57200
71,413,32.17966622393499,34.94579289934344,55,1.8,1.5,8000,57121
72,549,31.883297774009087,34.77016930483222,410,2.0,1.5,8000,56602
73,73,31.99920533846322,34.803402201518274,4,1.8,1.5,40000,56482
74,182,31.81066302236724,34.93630781315902,44,1.8,2.5,18000,56272
75,86,31.8546671,35.0286728,3,1.8,1.5,30000,55857
76,234,32.160543785064284,34.84258360397408,482,2.0,2.0,13000,55832
77,434,31.8667295,34.7451792,42,1.8,1.5,8000,55067
78,243,32.1200192177935,34.82534547728752,482,2.0,2.0,13000,54388
79,190,32.01517331749907,34.81082169945545,44,1.8,2.5,18000,54326
80,465,31.79683145502639,34.79369448037766,7,1.8,1.5,8000,53022
81,25,32.02931533806774,34.806449509767134,1,1.5,2.0,55000,52276
82,520,32.2028663,34.9715699,444,2.0,1.5,8000,51804
83,42,31.79424701906824,34.83096713771216,6,1.5,1.5,48000,51657
84,187,31.797076916571235,34.97304357793926,44,1.8,2.5,18000,51633
85,64,31.882384766042144,34.724747937900084,4,1.8,1.5,40000,51376
86,516,32.2288017,34.9432451,554,2.0,1.0,8000,50227
87,211,31.8152197,35.0241182,38,1.8,1.5,14000,50077
88,349,32.2297963,34.9505011,554,2.0,1.0,8000,49571
89,63,31.873979607495315,34.719219443365425,4,1.8,1.5,40000,49441
90,75,32.21645443499871,34.88334086158183,4,1.8,1.5,40000,48951
91,76,32.2158118959682,34.88355902326494,4,1.8,1.5,40000,48951
92,46,31.77910554285568,34.83282831986793,6,1.5,1.5,48000,48264
93,338,31.7602253,34.793411,383,2.0,1.0,8000,47376
94,92,31.761982419743447,34.791683771291886,3,1.8,1.5,30000,47374
95,23,31.806838013070312,35.03780313425314,1,1.5,2.0,55000,47222
96,224,32.0828465,34.8034674,482,2.0,2.0,13000,46514
97,441,32.18850294368572,34.84012128225119,531,1.5,1.5,8000,46486
98,230,32.1402052,34.8080752,5,1.5,2.0,13000,45663
99,5,31.9484652,34.7513192,20,1.5,2.0,105000,45221
100,4,32.08214446488169,34.79768319357016,20,1.5,2.0,105000,43632
101,180,31.774416,35.0065076,44,1.8,2.5,18000,43125
102,415,31.7765792,35.0117922,395,2.0,1.5,8000,43125
103,220,31.777830377914675,35.01099517258108,38,1.8,1.5,14000,43125
104,2,32.1571635,34.8145949,20,1.5,2.0,105000,42624
105,215,31.77081277292907,35.00071705697992,38,1.8,1.5,14000,42436
106,1,32.160343,34.8156954,20,1.5,2.0,105000,42295
107,410,32.0471027,34.7841113,461,2.0,1.5,8000,41057
108,232,32.141733,34.8014666,5,1.5,2.0,13000,41051
109,27,32.2391313,34.9819499,6,1.5,1.5,48000,41002
110,226,32.0794928,34.7935987,481,2.0,2.0,13000,40858
111,19,32.14324998003359,34.802267323474524,2,1.5,2.0,75000,40746
112,7,32.0997636,34.7935108,2,1.5,2.0,75000,40528
113,332,32.2615995,34.944886,553,2.0,1.5,8000,40505
114,505,31.80667,35.1034242,425,2.0,1.0,8000,38969
115,496,31.748969859210998,34.87867537383736,383,2.0,1.0,8000,38951
116,3,32.016886920968204,34.761776243331255,20,1.5,2.0,105000,38615
117,179,32.0380721,34.778851,44,1.8,2.5,18000,38464
118,79,31.808076370761526,34.6950490777238,4,1.8,1.5,40000,38169
119,337,32.2373667,34.8789916,551,2.0,1.0,8000,38064
120,333,32.2612249,34.9157054,562,2.0,1.5,8000,37380
121,429,31.7456872,34.8200324,383,2.0,1.0,8000,37209
122,490,32.2615478,34.9250644,553,2.0,1.5,8000,36990
123,453,31.7764783,35.0664881,395,2.0,1.5,8000,36931
124,13,32.18581243902859,34.81545167564944,2,1.5,2.0,75000,36514
125,495,32.2121943,34.8253988,543,2.0,1.5,8000,35199
126,462,31.749605,35.0023796,3855,2.0,1.5,8000,34274
127,536,31.777412480774984,35.09880345362604,395,2.0,1.5,8000,34154
128,84,32.28278731265563,34.8964933427581,4,1.8,1.5,40000,32953
129,409,32.25589575597846,34.86275033720635,553,2.0,1.5,8000,32663
130,455,31.8282099,34.6628569,41,1.5,1.5,8000,32367
131,20,31.8006883,35.1335885,1,1.5,2.0,55000,32133
132,525,32.25613337782483,34.85974146342029,553,2.0,1.5,8000,32108
133,223,31.9961433,34.7347887,441,2.0,2.0,13000,32058
134,6,32.2283347,34.8317268,20,1.5,2.0,105000,30729
135,341,31.7777713,35.1290912,395,2.0,1.5,8000,29944
136,67,31.76603588570049,34.66753162396253,4,1.8,1.5,40000,29751
137,68,31.766750703221966,34.66735341367199,4,1.8,1.5,40000,29751
138,11,32.270758723096456,34.85071093467269,2,1.5,2.0,75000,29512
139,62,32.29993264548744,34.89988285693602,4,1.8,1.5,40000,28894
140,210,31.7496863,34.9761923,38,1.8,1.5,14000,28746
141,334,32.3065176,34.9382115,562,2.0,1.5,8000,28619
142,160,32.9444339,35.1633367,70,4.0,1.5,20000,28187
143,165,32.94653293377821,35.1637672892712,70,4.0,1.5,20000,28187
144,293,33.01741279122482,35.17648195546076,89,4.0,1.5,9000,26041
145,298,33.02378596408639,35.25637179158714,89,4.0,1.5,9000,26011
