rank,lat,lon,road,zone,composite_score,alert_score_norm,border_proximity_score,nearby_alerts_marapr2026,road_risk,lanes_weight,status,relocated_from_lat,relocated_from_lon,nearest_city_when_relocated,moved_km
80,32.8402,35.16247,70,standard,0.363,0.2643,0.4616,14475,3.5,1.5,rural,,,,
81,31.57579,34.67754,352,gaza,0.357,0.0499,0.6642,2730,2.5,1.0,rural,,,,
82,31.9594,34.75889,איילון דרום,standard,0.3567,0.6303,0.0831,34515,4.0,2.5,relocated,31.97274,34.75621,ראשון לציון,1.5
83,32.21118,34.88385,כביש חיפה רעננה,standard,0.3527,0.7055,0.0,38631,3.5,1.5,relocated,32.22227,34.88311,חרוצים,1.23
84,32.93669,35.37481,864,standard,0.3492,0.2058,0.4927,11270,2.5,1.0,rural,,,,
85,32.02119,34.80573,השבעה,standard,0.3475,0.6949,0.0,38052,3.5,2.5,urban_kept,,,,
86,31.34626,34.64342,25,gaza,0.3457,0.0,0.6914,0,3.5,1.5,rural,,,,
87,32.2298,34.9505,טארק עבד אל חי,standard,0.3432,0.6864,0.0,37587,2.5,1.0,urban_kept,,,,
88,32.98496,35.44306,866,standard,0.3367,0.1387,0.5347,7595,2.5,1.0,rural,,,,
89,32.86495,35.25615,805,standard,0.3365,0.2312,0.4418,12660,2.5,1.0,rural,,,,
90,31.64134,34.73393,35,standard,0.3335,0.1148,0.5523,6284,3.5,1.5,rural,,,,
91,31.67842,34.7653,40,standard,0.3334,0.1908,0.476,10448,3.5,1.5,rural,,,,
92,32.83423,35.21687,781,standard,0.3306,0.251,0.4103,13745,2.5,1.5,rural,,,,
93,31.49421,34.69139,ארץ הביתרונות,gaza,0.3264,0.0151,0.6376,827,2.5,1.0,rural,,,,
94,31.81131,35.02971,כביש ירושלים תל אביב,standard,0.3254,0.6509,0.0,35641,4.0,2.0,relocated,31.83911,34.98698,לטרון,5.08
95,32.81752,35.07755,שדרות ההסתדרות,standard,0.3124,0.1856,0.4393,10161,3.5,1.5,rural,,,,
96,32.89917,35.3715,804,standard,0.3114,0.2027,0.4201,11097,2.5,1.0,rural,,,,
97,32.84198,35.26131,784,standard,0.3075,0.2237,0.3914,12248,2.5,1.0,rural,,,,
98,31.69811,34.8157,כביש חוצה ישראל,standard,0.3052,0.2384,0.3721,13052,4.0,1.5,relocated,31.70803,34.81993,צפרירים,1.17
99,32.98889,35.48344,89,standard,0.3023,0.0943,0.5102,5165,3.5,1.5,rural,,,,
100,32.86205,35.29968,הגליל,standard,0.3005,0.1988,0.4021,10887,3.5,1.5,relocated,32.85986,35.36618,משגב דב,6.21
101,31.32963,34.69991,25,gaza,0.2976,0.0144,0.5808,789,3.5,1.5,rural,,,,
102,32.79927,35.10271,העצמאות,standard,0.2968,0.1977,0.3959,10828,3.5,1.5,rural,,,,
103,31.78693,35.01387,38,standard,0.2963,0.5926,0.0,32451,3.5,1.5,relocated,31.75798,34.98498,בית שמש,4.21
104,32.79903,35.14345,כביש חוצה ישראל,standard,0.2955,0.2078,0.3831,11380,4.0,1.5,rural,,,,
105,32.92179,35.41765,806,standard,0.2903,0.152,0.4285,8325,2.5,1.5,rural,,,,
106,31.1493,34.60686,222,gaza,0.2897,0.0,0.5794,0,2.5,1.5,rural,,,,
107,31.59895,34.75393,40,gaza,0.2889,0.0581,0.5197,3183,3.5,1.5,rural,,,,
108,33.00299,35.56556,90,standard,0.2885,0.0893,0.4876,4889,3.5,1.5,relocated,33.01241,35.55927,חצור,1.2
109,32.8048,35.054,נתיבי המפרץ,standard,0.2857,0.1608,0.4105,8806,4.0,1.5,rural,,,,
110,31.38327,34.72069,264,gaza,0.2776,0.0,0.5553,0,2.5,1.5,rural,,,,
111,31.44208,34.73386,293,gaza,0.2751,0.005,0.5453,273,2.5,1.5,rural,,,,
112,32.86207,35.33649,804,standard,0.2746,0.1755,0.3736,9612,2.5,1.0,rural,,,,
113,31.62023,34.76931,35,standard,0.2736,0.0568,0.4903,3110,3.5,1.5,rural,,,,
114,32.04668,34.78355,איילון דרום,standard,0.2694,0.5387,0.0,29500,4.0,2.5,rural,,,,
115,31.77691,35.04577,395,standard,0.2645,0.529,0.0,28965,2.5,1.5,relocated,31.77665,35.06677,רמת רזיאל,1.98
116,32.83053,34.96672,ההגנה,standard,0.2605,0.0863,0.4347,4723,3.5,1.5,rural,,,,
117,32.80251,35.25323,784,standard,0.2582,0.1983,0.318,10861,2.5,1.0,rural,,,,
118,32.78423,35.07705,דשנים,standard,0.2579,0.1502,0.3655,8227,2.5,1.5,rural,,,,
119,32.20918,34.83571,איילון דרום,standard,0.2567,0.5133,0.0,28110,4.0,2.5,relocated,32.18848,34.82873,כפר שמריהו,2.39
120,32.96769,35.55054,90,standard,0.2557,0.0893,0.4222,4889,3.5,1.5,rural,,,,
121,31.42211,34.75408,264,gaza,0.2536,0.005,0.5022,273,2.5,1.5,rural,,,,
122,32.7896,35.02673,4,standard,0.2511,0.1298,0.3723,7107,4.0,2.0,rural,,,,
123,31.27117,34.73814,25,gaza,0.2474,0.0144,0.4804,789,3.5,1.5,rural,,,,
124,31.50595,34.78295,כביש חוצה ישראל,gaza,0.2468,0.0291,0.4646,1591,4.0,1.5,rural,,,,
125,31.82447,35.12793,הראל,standard,0.2452,0.4905,0.0,26858,2.5,1.0,urban_kept,,,,
126,32.94526,35.5093,89,standard,0.2436,0.0852,0.4021,4665,3.5,1.5,relocated,32.94774,35.49838,צפת,1.05
127,31.52805,34.79036,כביש חוצה ישראל,gaza,0.2421,0.0336,0.4507,1839,4.0,1.5,rural,,,,
128,31.44007,34.7721,כביש חוצה ישראל,gaza,0.2389,0.005,0.4728,273,4.0,1.5,rural,,,,
129,32.76244,35.11946,כביש חוצה ישראל,standard,0.2389,0.1667,0.311,9128,4.0,1.5,rural,,,,
130,31.36963,34.77829,310,gaza,0.2314,0.0194,0.4434,1062,2.5,1.5,rural,,,,
131,32.88118,35.42518,807,standard,0.2244,0.1078,0.3411,5902,2.5,1.0,rural,,,,
132,31.42223,34.78851,325,gaza,0.2235,0.0096,0.4374,524,2.5,1.0,rural,,,,
133,31.59898,34.81294,כביש חוצה ישראל,gaza,0.2229,0.0377,0.4081,2062,4.0,1.5,rural,,,,
134,32.90877,35.473,65,standard,0.2215,0.085,0.358,4652,3.5,1.5,rural,,,,
135,32.77882,34.99367,אבא חושי,standard,0.2191,0.1,0.3381,5476,2.5,1.5,rural,,,,
136,31.34575,34.79056,40,gaza,0.2168,0.0194,0.4142,1062,3.5,1.5,rural,,,,
137,31.25352,34.76485,שדרות דוד טוביהו,gaza,0.2168,0.0144,0.4191,789,3.5,2.0,relocated,31.24649,34.78286,באר שבע,1.88
138,32.79253,34.95915,כביש החוף,standard,0.2145,0.0786,0.3504,4303,4.0,1.5,rural,,,,
139,32.76785,35.22805,784,standard,0.2118,0.1561,0.2675,8545,2.5,1.0,rural,,,,
140,32.74876,35.07656,דרך העמקים,standard,0.2094,0.132,0.2867,7226,3.5,1.5,rural,,,,
141,31.74651,35.07828,386,standard,0.2074,0.4148,0.0,22712,2.5,1.5,relocated,31.72508,35.0904,צור הדסה,2.64
142,32.9254,35.54377,90,standard,0.2044,0.0717,0.3371,3926,3.5,1.5,rural,,,,
143,32.26886,34.84313,כביש החוף,standard,0.1981,0.3961,0.0,21692,4.0,2.5,relocated,32.26077,34.83819,יקום,1.01
144,31.68525,34.90946,353,standard,0.1961,0.1839,0.2082,10069,2.5,1.0,rural,,,,
145,32.84316,35.39883,806,standard,0.1905,0.0951,0.286,5206,2.5,1.5,relocated,32.85564,35.40057,משגב דב,1.39
146,32.73444,35.03934,672,standard,0.1883,0.1238,0.2529,6778,2.5,1.5,rural,,,,
147,31.37162,34.82684,כביש חוצה ישראל,gaza,0.1859,0.0194,0.3525,1062,4.0,1.5,rural,,,,
148,32.77254,35.28274,77,standard,0.1843,0.134,0.2346,7336,3.5,1.5,rural,,,,
149,31.30181,34.81865,40,gaza,0.1819,0.0144,0.3493,789,3.5,1.5,rural,,,,
150,32.7239,35.09936,דרך העמקים,standard,0.1808,0.132,0.2297,7226,3.5,1.5,rural,,,,
151,32.86626,35.45605,65,standard,0.1801,0.0739,0.2864,4044,3.5,1.5,rural,,,,
152,31.07752,34.69373,222,gaza,0.1794,0.0,0.3589,0,2.5,1.5,rural,,,,
153,31.79472,35.16272,כביש ירושלים תל אביב,standard,0.1769,0.3539,0.0,19378,4.0,2.0,relocated,31.80036,35.13403,יד השמונה,2.78
154,32.31287,35.01273,כביש חוצה ישראל,standard,0.1737,0.3473,0.0,19020,4.0,2.0,relocated,32.18615,34.95696,כפר אביב,15.01
155,31.25093,34.81975,אליהו נאוי,gaza,0.169,0.0185,0.3195,1014,3.5,2.0,relocated,31.24514,34.81161,באר שבע,1.01
156,31.63394,34.87066,353,standard,0.1675,0.0377,0.2973,2064,2.5,1.0,rural,,,,
157,32.84591,35.43364,65,standard,0.1672,0.0707,0.2636,3872,3.5,1.5,rural,,,,
158,32.72495,35.00839,721,standard,0.1664,0.1074,0.2254,5880,2.5,1.5,rural,,,,
159,32.74563,35.25454,79,standard,0.1627,0.1231,0.2022,6742,3.5,1.5,rural,,,,
160,32.72927,35.20629,77,standard,0.1603,0.1184,0.2021,6486,3.5,1.5,rural,,,,
161,31.68712,34.94661,38,standard,0.1585,0.1784,0.1387,9768,3.5,1.5,rural,,,,
162,31.76438,35.15297,קלמן יעקב מן,standard,0.1563,0.3126,0.0,17117,2.5,1.5,rural,,,,
163,31.71856,35.10578,375,standard,0.1547,0.3093,0.0,16937,2.5,1.0,relocated,31.70583,35.12692,מבוא ביתר,2.45
164,32.71169,35.13011,דרך העמקים,standard,0.154,0.1113,0.1967,6095,3.5,1.5,rural,,,,
165,31.60692,34.89303,35,standard,0.1518,0.0468,0.2569,2563,3.5,1.5,rural,,,,
166,31.22568,34.82874,40,gaza,0.1511,0.0185,0.2836,1014,3.5,1.5,rural,,,,
168,32.70628,35.16708,דרך העמקים,standard,0.1457,0.1188,0.1725,6506,3.5,1.5,rural,,,,
169,32.80878,35.39957,65,standard,0.1448,0.073,0.2165,3998,3.5,1.5,rural,,,,
170,31.16752,34.80461,40,gaza,0.1423,0.0185,0.2661,1014,3.5,1.5,rural,,,,
171,31.39125,34.87917,358,gaza,0.1411,0.0233,0.2589,1276,2.5,1.0,rural,,,,
172,31.73761,35.15143,384,standard,0.1411,0.2822,0.0,15450,2.5,1.0,rural,,,,
173,32.90057,35.61115,87,standard,0.1409,0.0367,0.2451,2007,3.5,1.0,rural,,,,
174,30.93828,34.58878,211,gaza,0.1395,0.0,0.2791,0,2.5,1.5,rural,,,,
175,30.90461,34.49691,211,gaza,0.138,0.0,0.276,0,2.5,1.5,rural,,,,
176,32.87232,35.54062,90,standard,0.1335,0.0362,0.2308,1983,3.5,1.5,rural,,,,
177,32.35022,35.00667,582,standard,0.1322,0.2644,0.0,14477,2.5,1.5,rural,,,,
178,30.8825,34.39305,primary,gaza,0.1253,0.0,0.2506,0,2.5,1.5,rural,,,,
