area_name_hebrew,alerts_since_oct7_2023
כפר הנוער ימין אורד,68
כפר טבאש,67
חלמיש,66
סיט,65
חוואלד,65
כפר יעבץ,64
אזור תעשייה אכזיב מילואות,57
אבו נוור,57
אזור תעשייה רגבים,55
קידר,55
צומת בנימינה,55
מתחם צומת שוקת,54
בית ספר אורט בנימינה,52
רמת הנדיב,52
בת-ים,51
עין כמונים,51
עינבר,50
אמציה,49
כפר נחום,49
באר אורה,49
מלון פרא,49
בית סוהר מגידו,49
טבחה,48
שבלי,48
רפטינג נהר הירדן,47
גבעת הראל וגבעת הרואה,47
אום אלג'נם,47
בית חזון,47
קלע,46
כרמי קטיף,46
מרכז ימי קיסריה,46
חוף אמנון,45
מלון אחוזת ירדן,44
מצוק עורבים,42
חוף גופרה,42
חוף סוסיתא,42
חוף כינר,41
דוגה,41
דוגית,41
חוף כורסי,41
לבנון,41
חלוקים,41
אליפז ומכרות תמנע,40
לוטן,39
חוף גולן,39
צאלון,39
יטבתה,38
גבעות גורל,38
ממשית,37
פארן,37
סמר,37
סעייה-מולדה,36
דניאל,36
יהל,36
שחרות,36
צומת דבירה,36
צוקים,36
תקומה וחוות יזרעם,35
גרופית,35
נאות סמדר,35
קטורה,35
שיטים,35
אזור תעשייה צבאים,35
בית סוהר שיטה וגלבוע,35
ספיר,34
נווה חריף,33
אורון תעשייה ומסחר,33
ברחבי הארץ,33
עין יהב,32
צופר,30
יהוד-מונוסון,28
עיר אובות,27
שדה אברהם,23
