rank,lat,lon,road,zone,composite_score,nearby_alerts_marapr2026,highway_type,road_speed_kmh,catchment_per_dir_km,aadt_normal,aadt_wartime,estimated_people_in_catchment,base_capacity,suggested_capacity,capacity_upgraded,upgrade_reason,alert_seconds
217,32.45118,34.8932,כביש החוף,Standard,0.0559,6118,motorway,90,7.5,8000,800,15.6,20,20,no,,300
219,32.75386,35.41108,65,Standard,0.0539,580,trunk,90,7.5,24000,2400,46.8,50,50,no,,300
220,32.45257,34.97321,65,Standard,0.0534,5851,trunk,90,7.5,24000,2400,46.8,50,50,no,,300
221,32.79894,35.52056,מנחם בגין,Standard,0.0531,348,trunk,90,7.5,8000,800,15.6,20,20,no,,300
222,31.06652,34.83841,40,Gaza envelope,0.0524,0,primary,90,7.5,8000,800,15.6,20,20,no,,300
223,32.43746,35.02462,574,Standard,0.0507,5557,primary,80,6.67,4000,400,7.8,12,12,no,,300
224,32.78596,35.49496,מנחם בגין,Standard,0.0503,348,trunk,90,7.5,19000,1900,37.1,50,50,no,,300
226,32.6423,35.05813,672,Standard,0.0472,2419,primary,80,6.67,8000,800,15.6,20,20,no,,300
227,32.66137,35.23909,73,Standard,0.0382,2013,trunk,90,7.5,8000,800,15.6,20,20,no,,300
228,32.47901,34.95591,הים,Standard,0.0357,3911,primary,80,6.67,8000,800,15.6,20,20,no,,300
230,32.45671,35.04691,האחווה,Standard,0.0298,3267,primary,50,4.17,8000,800,15.6,20,20,no,,300
231,32.50474,34.91422,כביש החוף,Standard,0.027,2956,motorway,110,9.17,8000,800,15.6,20,20,no,,300
233,32.67574,35.29197,60,Standard,0.0263,1122,trunk,90,7.5,16000,1600,31.2,50,50,no,,300
235,32.48213,35.03479,כביש חוצה ישראל,Standard,0.0243,2660,motorway,110,9.17,8000,800,15.6,20,20,no,,300
236,32.64337,34.95866,כביש חיפה רעננה,Standard,0.0213,662,trunk,90,7.5,8000,800,15.6,20,20,no,,300
238,30.93868,34.78511,40,Gaza envelope,0.0191,0,trunk,90,7.5,22000,2200,42.9,50,50,no,,300
240,31.1853,34.95695,25,Standard,0.0163,442,trunk,90,7.5,7000,700,13.7,20,20,no,,300
241,32.5173,34.99246,654,Standard,0.0161,1768,primary,80,6.67,8000,800,15.6,20,20,no,,300
242,32.77382,35.54631,שדרות אליעזר קפלן,Standard,0.0144,0,trunk,60,5.0,8000,800,15.6,20,20,no,,300
244,31.31285,34.99488,316,Standard,0.0126,217,primary,80,6.67,8000,800,15.6,20,20,no,,300
248,32.61908,35.05488,כביש חוצה ישראל,Standard,0.01,1099,motorway,120,10.0,8000,800,15.6,20,20,no,,300
249,32.53646,34.92907,כביש חיפה רעננה,Standard,0.008,881,trunk,90,7.5,8000,800,15.6,20,20,no,,300
250,31.25485,35.21055,31,Standard,0.0069,753,trunk,90,7.5,6500,650,12.7,20,20,no,,300
251,31.29801,35.13199,80,Standard,0.0069,753,trunk,90,7.5,8000,800,15.6,20,20,no,,300
252,32.56323,34.95873,652,Standard,0.0054,587,primary,80,6.67,4000,400,7.8,12,12,no,,300
253,32.52426,35.02544,653,Standard,0.0054,587,primary,80,6.67,8000,800,15.6,20,20,no,,300
254,31.2012,35.35995,דרך ים המלח,Standard,0.0049,536,trunk,90,7.5,8000,800,15.6,20,20,no,,300
255,31.19194,35.28031,31,Standard,0.0049,536,trunk,90,7.5,6500,650,12.7,20,20,no,,300
256,31.25015,35.36307,דרך ים המלח,Standard,0.0049,536,trunk,80,6.67,8000,800,15.6,20,20,no,,300
257,32.5864,35.43541,717,Standard,0.0047,510,primary,80,6.67,8000,800,15.6,20,20,no,,300
258,31.25249,35.12599,80,Standard,0.0046,500,trunk,90,7.5,8000,800,15.6,20,20,no,,300
259,31.2344,35.10819,80,Standard,0.0046,500,trunk,90,7.5,4000,400,7.8,12,12,no,,300
260,31.2565,35.09862,31,Standard,0.0046,500,trunk,90,7.5,6500,650,12.7,20,20,no,,300
261,31.16767,35.04596,80,Standard,0.004,442,trunk,90,7.5,8000,800,15.6,20,20,no,,300
262,31.26291,35.02142,31,Standard,0.004,442,trunk,90,7.5,6500,650,12.7,20,20,no,,300
